"id","school_list_id","school_id","status"
1,6177,10,"Accepted"
2,6177,3,"Rejected"
3,53,3,"Interested"
4,53,5,"Interested"
5,53,9,"Interested"
6,53,7,"Interested"
7,53,8,"Rejected"
8,53,1,"Applying"
9,53,6,"Interested"
10,53,4,"Interested"
11,53,10,"Interested"
12,53,2,"Interested"
13,1240,2,"Interested"
14,1240,9,"Interested"
15,1240,3,"Interested"
16,1240,5,"Applied"
17,1240,7,"Interested"
18,1240,8,"Accepted"
19,1240,4,"Applied"
20,654,5,"Interested"
21,654,2,"Interested"
22,654,3,"Rejected"
23,654,9,"Applying"
24,8510,5,"Rejected"
25,8510,6,"Interested"
26,8510,3,"Interested"
27,8510,2,"Interested"
28,8510,1,"Interested"
29,8510,7,"Interested"
30,8510,10,"Enrolled"
31,3469,4,"Rejected"
32,3469,5,"Interested"
33,3469,4,"Accepted"
34,3469,6,"Applying"
35,3469,2,"Applied"
36,3469,5,"Applied"
37,5569,9,"Interested"
38,5569,5,"Interested"
39,5569,6,"Interested"
40,5569,8,"Rejected"
41,5569,7,"Interested"
42,5569,4,"Rejected"
43,5569,1,"Interested"
44,3043,3,"Applying"
45,3043,4,"Interested"
46,3043,5,"Interested"
47,3043,10,"Interested"
48,3043,6,"Applied"
49,3043,9,"Enrolled"
50,6752,10,"Interested"
51,6752,5,"Accepted"
52,6752,1,"Interested"
53,6752,4,"Rejected"
54,6752,2,"Applying"
55,6752,9,"Applied"
56,3656,6,"Rejected"
57,3656,2,"Interested"
58,3656,5,"Interested"
59,3656,8,"Interested"
60,3656,3,"Rejected"
61,3656,1,"Interested"
62,3656,10,"Rejected"
63,6248,5,"Interested"
64,6248,9,"Accepted"
65,6248,3,"Interested"
66,6248,2,"Applied"
67,6248,4,"Interested"
68,6248,7,"Applying"
69,6248,10,"Interested"
70,5973,9,"Rejected"
71,5973,2,"Interested"
72,5973,4,"Interested"
73,5973,5,"Enrolled"
74,5973,8,"Applied"
75,5973,3,"Interested"
76,5973,10,"Applying"
77,7361,6,"Interested"
78,7361,7,"Interested"
79,7361,2,"Enrolled"
80,7361,4,"Interested"
81,7361,8,"Interested"
82,5736,8,"Accepted"
83,5736,3,"Rejected"
84,5736,1,"Rejected"
85,5736,9,"Interested"
86,5736,10,"Interested"
87,5736,6,"Rejected"
88,5736,2,"Accepted"
89,5736,5,"Interested"
90,2782,3,"Rejected"
91,2782,4,"Accepted"
92,2782,1,"Interested"
93,2782,5,"Interested"
94,2782,2,"Interested"
95,2782,9,"Applying"
96,2782,7,"Interested"
97,2782,10,"Interested"
98,6714,8,"Rejected"
99,6714,3,"Rejected"
100,6714,6,"Applying"
101,6714,10,"Interested"
102,6714,5,"Interested"
103,6714,4,"Applying"
104,6714,7,"Interested"
105,6714,1,"Interested"
106,3385,4,"Interested"
107,3385,10,"Interested"
108,3385,6,"Interested"
109,3385,5,"Interested"
110,3385,2,"Interested"
111,3385,8,"Interested"
112,3385,7,"Enrolled"
113,3385,9,"Interested"
114,5918,2,"Interested"
115,5918,9,"Interested"
116,5918,4,"Interested"
117,5918,1,"Interested"
118,1513,2,"Interested"
119,1513,3,"Rejected"
120,1513,4,"Interested"
121,1513,8,"Interested"
122,1513,2,"Interested"
123,1513,9,"Interested"
124,1513,3,"Applying"
125,1513,5,"Interested"
126,3041,6,"Interested"
127,3041,7,"Interested"
128,3041,3,"Accepted"
129,3041,10,"Interested"
130,3041,2,"Interested"
131,3041,9,"Accepted"
132,3041,4,"Interested"
133,3041,5,"Interested"
134,3041,8,"Accepted"
135,9705,5,"Applied"
136,9705,2,"Interested"
137,9705,9,"Rejected"
138,9705,7,"Applied"
